team,season,run_id,avg_wins,seed_1_pct,seed_2_pct,seed_3_pct,seed_4_pct,seed_5_pct,seed_6_pct,seed_7_pct,seed_8_pct,seed_9_pct,seed_10_pct,seed_11_pct,seed_12_pct,seed_13_pct,seed_14_pct,seed_15_pct,missed_playoffs_pct,first_round_pct,second_round_pct,conf_finals_pct,finals_pct,champion_pct
OKC,2025-26,production,51.3400000000,63.5000000000,15.3000000000,7.8000000000,5.7000000000,2.5000000000,2.0000000000,1.3000000000,0.8000000000,0.2000000000,0.4000000000,0.4000000000,0.1000000000,0.0000000000,0.0000000000,0.0000000000,1.6000000000,19.5000000000,18.6000000000,13.9000000000,11.8000000000,34.6000000000
ORL,2025-26,production,45.2000000000,20.6000000000,14.7000000000,12.7000000000,12.2000000000,8.1000000000,8.9000000000,6.0000000000,3.3000000000,3.7000000000,3.1000000000,2.7000000000,2.0000000000,0.9000000000,0.9000000000,0.2000000000,12.5000000000,40.2000000000,21.5000000000,10.8000000000,8.2000000000,6.8000000000
PHI,2025-26,production,43.1000000000,9.1000000000,12.4000000000,11.0000000000,8.2000000000,9.3000000000,8.1000000000,9.4000000000,8.2000000000,5.7000000000,4.8000000000,4.1000000000,3.9000000000,3.0000000000,2.0000000000,0.8000000000,25.4000000000,32.0000000000,21.2000000000,10.9000000000,6.1000000000,4.4000000000
PHX,2025-26,production,38.4300000000,0.5000000000,2.1000000000,2.4000000000,3.1000000000,3.1000000000,4.9000000000,6.0000000000,7.4000000000,7.9000000000,10.9000000000,8.2000000000,8.6000000000,12.1000000000,12.1000000000,10.7000000000,69.9000000000,21.8000000000,4.8000000000,3.0000000000,0.5000000000,0.0000000000
POR,2025-26,production,36.0700000000,0.1000000000,0.4000000000,0.3000000000,0.8000000000,2.2000000000,2.5000000000,3.3000000000,3.9000000000,5.6000000000,7.0000000000,8.3000000000,12.1000000000,13.3000000000,18.1000000000,22.1000000000,86.8000000000,9.7000000000,2.9000000000,0.3000000000,0.3000000000,0.0000000000
SAC,2025-26,production,40.5000000000,1.6000000000,3.6000000000,5.0000000000,6.7000000000,6.1000000000,6.0000000000,8.4000000000,8.0000000000,7.7000000000,9.3000000000,9.8000000000,8.5000000000,9.4000000000,6.1000000000,3.8000000000,54.7000000000,28.2000000000,11.1000000000,4.7000000000,0.5000000000,0.8000000000
SAS,2025-26,production,43.1000000000,3.9000000000,11.6000000000,10.1000000000,8.1000000000,10.6000000000,8.4000000000,9.1000000000,6.6000000000,7.1000000000,6.2000000000,6.0000000000,4.4000000000,4.1000000000,2.6000000000,1.2000000000,32.3000000000,33.5000000000,18.5000000000,9.0000000000,3.6000000000,3.1000000000
TOR,2025-26,production,38.8400000000,2.0000000000,2.4000000000,3.6000000000,4.5000000000,5.4000000000,6.3000000000,6.4000000000,7.8000000000,9.6000000000,7.9000000000,9.2000000000,9.5000000000,8.7000000000,10.0000000000,6.7000000000,61.1000000000,23.0000000000,9.5000000000,3.7000000000,2.1000000000,0.6000000000
UTA,2025-26,production,34.3200000000,0.0000000000,0.2000000000,0.2000000000,1.1000000000,0.7000000000,1.5000000000,1.5000000000,2.4000000000,2.4000000000,5.2000000000,4.9000000000,11.1000000000,11.6000000000,20.4000000000,36.8000000000,92.5000000000,5.7000000000,1.0000000000,0.6000000000,0.1000000000,0.1000000000
WAS,2025-26,production,33.5800000000,0.1000000000,0.1000000000,0.7000000000,0.4000000000,0.2000000000,0.7000000000,2.6000000000,2.3000000000,4.4000000000,4.5000000000,5.6000000000,9.2000000000,14.0000000000,17.8000000000,37.4000000000,92.3000000000,5.6000000000,1.7000000000,0.3000000000,0.1000000000,0.0000000000
